fold,test_site,dataset,label,tp,fp,fn,tn,precision,recall,f1,fpr,day_recall,day_fpr,n_atk_days,det_atk_days,n_cln_days,fa_days
1,site5_5.9kw_2016_2019,validation,fold1_validation,5730,746,2214,143990,0.8848054354539839,0.7212990936555891,0.7947295423023578,0.005154211806323237,0.9591836734693877,0.288,147,141,125,36
1,site5_5.9kw_2016_2019,site5_5.9kw_2016_2019_attack_sa_5pct,site5_5.9kw_2016_2019_attack_sa_5pct,2642,976,708,65416,0.7302377003869541,0.7886567164179105,0.7583237657864523,0.014700566333293167,0.815028901734104,0.2504816955684008,173,141,519,130
1,site5_5.9kw_2016_2019,site5_5.9kw_2016_2019_attack_sa_8pct,site5_5.9kw_2016_2019_attack_sa_8pct,2904,970,446,65422,0.7496128033040784,0.8668656716417911,0.8039867109634551,0.014610193999277021,0.8786127167630058,0.2504816955684008,173,152,519,130
1,site5_5.9kw_2016_2019,site5_5.9kw_2016_2019_attack_sa_10pct,site5_5.9kw_2016_2019_attack_sa_10pct,3030,966,320,65426,0.7582582582582582,0.9044776119402985,0.8249387421726109,0.01454994577659959,0.9132947976878613,0.2466281310211946,173,158,519,128
2,site5_7.0kw_2016_2019,validation,fold2_validation,5800,822,2246,140040,0.8758683177287828,0.7208550832711906,0.7908371966184891,0.005835498573071517,0.9517241379310345,0.3114754098360656,145,138,122,38
2,site5_7.0kw_2016_2019,site5_7.0kw_2016_2019_attack_sa_5pct,site5_7.0kw_2016_2019_attack_sa_5pct,4017,1738,1211,103859,0.6980017376194614,0.768362662586075,0.7314941272876264,0.016458800912904723,0.7453874538745388,0.2870699881376038,271,202,843,242
2,site5_7.0kw_2016_2019,site5_7.0kw_2016_2019_attack_sa_8pct,site5_7.0kw_2016_2019_attack_sa_8pct,4751,1741,477,103856,0.7318237831176833,0.90876052027544,0.8107508532423209,0.01648721081091319,0.8634686346863468,0.2858837485172005,271,234,843,241
2,site5_7.0kw_2016_2019,site5_7.0kw_2016_2019_attack_sa_10pct,site5_7.0kw_2016_2019_attack_sa_10pct,4848,1754,380,103843,0.7343229324447137,0.9273144605967866,0.8196111580726965,0.016610320368949875,0.8856088560885609,0.2846975088967972,271,240,843,240
3,site5_327.6kw_2016_2019,validation,fold3_validation,6021,788,1933,147444,0.8842708180349538,0.7569776213226049,0.8156878683194473,0.0053159911490096605,0.9530201342281879,0.2764227642276423,149,142,123,34
3,site5_327.6kw_2016_2019,site5_327.6kw_2016_2019_attack_sa_5pct,site5_327.6kw_2016_2019_attack_sa_5pct,5015,3718,979,113788,0.5742585594870033,0.83667000333667,0.6810619949752156,0.03164093748404337,0.86875,0.3861082737487232,320,278,979,378
3,site5_327.6kw_2016_2019,site5_327.6kw_2016_2019_attack_sa_8pct,site5_327.6kw_2016_2019_attack_sa_8pct,5485,3727,509,113779,0.5954190186712983,0.9150817484150817,0.7214257529922399,0.031717529317651864,0.915625,0.3861082737487232,320,293,979,378
3,site5_327.6kw_2016_2019,site5_327.6kw_2016_2019_attack_sa_10pct,site5_327.6kw_2016_2019_attack_sa_10pct,5582,3719,412,113787,0.6001505214493065,0.9312645979312646,0.7299117358613926,0.031649447687777645,0.925,0.3861082737487232,320,296,979,378
4,site5_226.8kw_2016_2019,validation,fold4_validation,5715,675,2357,147443,0.8943661971830986,0.7080029732408325,0.7903471165813857,0.004557177385597969,0.9367088607594937,0.18421052631578946,158,148,114,21
4,site5_226.8kw_2016_2019,site5_226.8kw_2016_2019_attack_sa_5pct,site5_226.8kw_2016_2019_attack_sa_5pct,4567,575,1347,117190,0.8881758070789576,0.7722353736895502,0.8261577424023155,0.004882605188298731,0.7322580645161291,0.14473684210526316,310,227,988,143
4,site5_226.8kw_2016_2019,site5_226.8kw_2016_2019_attack_sa_8pct,site5_226.8kw_2016_2019_attack_sa_8pct,5132,586,782,117179,0.8975166142007694,0.8677713899222185,0.8823933975240714,0.004976011548422706,0.8193548387096774,0.1417004048582996,310,254,988,140
4,site5_226.8kw_2016_2019,site5_226.8kw_2016_2019_attack_sa_10pct,site5_226.8kw_2016_2019_attack_sa_10pct,5245,598,669,117167,0.8976553140510012,0.8868785931687521,0.8922344135408692,0.00507790939583068,0.8419354838709677,0.1417004048582996,310,261,988,140
